config_id,label,fold_id,operating_point,fpr_target,target_reached,threshold,benign_fp,benign_support,benign_fpr,ddos_recall,dos_recall,mqtt_recall,recon_recall,spoof_recall,macro_attack_family_recall,min_supported_family_recall,supported_families_present,fit_seconds,train_rows,val_rows
H5,no_l2,1,primary,0.0025,True,0.9901707172393799,216,86435,0.002498987678602418,0.9992166666666666,0.9973666666666666,0.9293357876017846,0.668918918918919,,0.8987095099635092,0.668918918918919,DDoS|DoS|MQTT|Recon,8.431994167156518,465521,238784
H5,no_l2,1,secondary,0.001,True,0.9947031736373901,86,86435,0.0009949673164805924,0.9991166666666667,0.9972166666666666,0.9275262845911459,0.6554054054054054,,0.8948162558324712,0.6554054054054054,DDoS|DoS|MQTT|Recon,8.431994167156518,465521,238784
H5,no_l2,2,primary,0.0025,True,0.8077555894851685,205,83013,0.002469492730054329,0.9995,0.9967666666666667,0.3945666666666667,0.934660951360362,,0.8313735711734238,0.3945666666666667,DDoS|DoS|MQTT|Recon,7.674034249968827,437698,266607
H5,no_l2,2,secondary,0.001,True,0.8562180995941162,82,83013,0.0009877970920217315,0.9994333333333333,0.9966,0.3582666666666667,0.9319521343096981,,0.8215630335774244,0.3582666666666667,DDoS|DoS|MQTT|Recon,7.674034249968827,437698,266607
H6,more_l2,0,primary,0.0025,True,0.9782620072364807,104,41622,0.002498678583441449,0.96675,0.91655,0.9966333333333334,0.5799769850402762,0.022419430172816442,0.8649775795934024,0.5799769850402762,DDoS|DoS|MQTT|Recon,8.480603500269353,505391,198914
H6,more_l2,0,secondary,0.001,True,0.9911607503890991,41,41622,0.0009850559800105713,0.9658666666666667,0.9163833333333333,0.9954,0.5776754890678941,0.014167834345321501,0.8638313722669735,0.5776754890678941,DDoS|DoS|MQTT|Recon,8.480603500269353,505391,198914
H6,more_l2,1,primary,0.0025,True,0.9911982417106628,216,86435,0.002498987678602418,0.99895,0.9973,0.927432689607837,0.6216216216216216,,0.8863260778073646,0.6216216216216216,DDoS|DoS|MQTT|Recon,7.800136291887611,465521,238784
H6,more_l2,1,secondary,0.001,True,0.9961023330688477,86,86435,0.0009949673164805924,0.9985,0.9971,0.923969675225408,0.5506756756756757,,0.8675613377252709,0.5506756756756757,DDoS|DoS|MQTT|Recon,7.800136291887611,465521,238784
H6,more_l2,2,primary,0.0025,True,0.711382269859314,198,83013,0.002385168588052474,0.9995333333333334,0.9968166666666667,0.4110333333333333,0.9393939393939394,,0.8366943181818182,0.4110333333333333,DDoS|DoS|MQTT|Recon,7.634934249799699,437698,266607
H6,more_l2,2,secondary,0.001,True,0.8036078810691833,82,83013,0.0009877970920217315,0.9995166666666667,0.9964833333333334,0.3676,0.9343930463773293,,0.8244982615943324,0.3676,DDoS|DoS|MQTT|Recon,7.634934249799699,437698,266607
H7,strong_l2,0,primary,0.0025,True,0.9718074798583984,104,41622,0.002498678583441449,0.9737833333333333,0.9229166666666667,0.9966,0.5811277330264673,0.020706834812392962,0.8686069332566169,0.5811277330264673,DDoS|DoS|MQTT|Recon,8.231136874761432,505391,198914
H7,strong_l2,0,secondary,0.001,True,0.9918253421783447,41,41622,0.0009850559800105713,0.9624,0.9182333333333333,0.9947,0.5776754890678941,0.009964191187918418,0.8632522056003069,0.5776754890678941,DDoS|DoS|MQTT|Recon,8.231136874761432,505391,198914
H7,strong_l2,1,primary,0.0025,True,0.9874449968338013,216,86435,0.002498987678602418,0.9987666666666667,0.9973333333333333,0.9278070695410726,0.597972972972973,,0.8804700106285115,0.597972972972973,DDoS|DoS|MQTT|Recon,7.636883208993822,465521,238784
H7,strong_l2,1,secondary,0.001,True,0.9941272735595703,86,86435,0.0009949673164805924,0.9981666666666666,0.9969833333333333,0.925747979908277,0.5135135135135135,,0.8586028733554476,0.5135135135135135,DDoS|DoS|MQTT|Recon,7.636883208993822,465521,238784
H7,strong_l2,2,primary,0.0025,True,0.6394004225730896,207,83013,0.002493585342054859,0.99955,0.9969833333333333,0.4237,0.9424004286479728,,0.8406584404953266,0.4237,DDoS|DoS|MQTT|Recon,7.918838541954756,437698,266607
H7,strong_l2,2,secondary,0.001,True,0.7840317487716675,82,83013,0.0009877970920217315,0.9995166666666667,0.9967,0.36723333333333336,0.9350479252247426,,0.8246244813061857,0.36723333333333336,DDoS|DoS|MQTT|Recon,7.918838541954756,437698,266607
H8,slower_boosting,0,primary,0.0025,True,0.9684585928916931,104,41622,0.002498678583441449,0.9661666666666666,0.9164666666666667,0.9987333333333334,0.5799769850402762,0.023976335045928693,0.8653359129267357,0.5799769850402762,DDoS|DoS|MQTT|Recon,14.511639166157693,505391,198914
H8,slower_boosting,0,secondary,0.001,True,0.9889786243438721,41,41622,0.0009850559800105713,0.7259666666666666,0.024616666666666665,0.998,0.5776754890678941,0.01650319165498988,0.5815647056003068,0.024616666666666665,DDoS|DoS|MQTT|Recon,14.511639166157693,505391,198914
