model_id,fpr_target,target_reached,threshold,benign_fp,benign_support,benign_fpr,ddos_tcp_recall,dos_tcp_recall,mqtt_publish_recall,recon_os_scan_recall,macro_attack_group_recall,min_attack_group_recall,owltron_interaction_fpr,profiling_idle_fpr,owltron_power_fpr,macro_benign_pcap_fpr
random_forest,0.01,False,1.0,246,22504,0.010931389975115535,0.7149770393990916,0.811906296023564,0.39264821197881117,0.7715261282660333,0.6727644189168751,0.39264821197881117,0.02640901771336554,0.0,0.0,0.018955539858839392
random_forest,0.005,False,1.0,246,22504,0.010931389975115535,0.7149770393990916,0.811906296023564,0.39264821197881117,0.7715261282660333,0.6727644189168751,0.39264821197881117,0.02640901771336554,0.0,0.0,0.018955539858839392
random_forest,0.0025,False,1.0,246,22504,0.010931389975115535,0.7149770393990916,0.811906296023564,0.39264821197881117,0.7715261282660333,0.6727644189168751,0.39264821197881117,0.02640901771336554,0.0,0.0,0.018955539858839392
random_forest,0.001,False,1.0,246,22504,0.010931389975115535,0.7149770393990916,0.811906296023564,0.39264821197881117,0.7715261282660333,0.6727644189168751,0.39264821197881117,0.02640901771336554,0.0,0.0,0.018955539858839392
random_forest,0.0005,False,1.0,246,22504,0.010931389975115535,0.7149770393990916,0.811906296023564,0.39264821197881117,0.7715261282660333,0.6727644189168751,0.39264821197881117,0.02640901771336554,0.0,0.0,0.018955539858839392
extratrees,0.01,False,1.0,459,22504,0.020396373977959473,0.8877944610406588,0.88577411634757,0.38620580719044584,0.8119061757719715,0.7429201400876616,0.38620580719044584,0.04927536231884058,0.0,0.0,0.03588849147682825
extratrees,0.005,False,1.0,459,22504,0.020396373977959473,0.8877944610406588,0.88577411634757,0.38620580719044584,0.8119061757719715,0.7429201400876616,0.38620580719044584,0.04927536231884058,0.0,0.0,0.03588849147682825
extratrees,0.0025,False,1.0,459,22504,0.020396373977959473,0.8877944610406588,0.88577411634757,0.38620580719044584,0.8119061757719715,0.7429201400876616,0.38620580719044584,0.04927536231884058,0.0,0.0,0.03588849147682825
extratrees,0.001,False,1.0,459,22504,0.020396373977959473,0.8877944610406588,0.88577411634757,0.38620580719044584,0.8119061757719715,0.7429201400876616,0.38620580719044584,0.04927536231884058,0.0,0.0,0.03588849147682825
extratrees,0.0005,False,1.0,459,22504,0.020396373977959473,0.8877944610406588,0.88577411634757,0.38620580719044584,0.8119061757719715,0.7429201400876616,0.38620580719044584,0.04927536231884058,0.0,0.0,0.03588849147682825
xgboost,0.01,True,0.9562051296234131,155,22504,0.006887664415215073,0.9985950991062915,0.9973510151483274,0.9303069450477539,0.8533254156769596,0.944894618744833,0.8533254156769596,0.016532474503488995,7.605141075366947e-05,0.0,0.011040326838975625
xgboost,0.005,True,0.9580442905426025,27,22504,0.0011997867045858515,0.9985904357928581,0.9973220860509152,0.9211792647083712,0.852583135391924,0.9424187304860171,0.852583135391924,0.0027911969940955447,7.605141075366947e-05,0.0,0.0020916568842570364
xgboost,0.0025,True,0.9580442905426025,27,22504,0.0011997867045858515,0.9985904357928581,0.9973220860509152,0.9211792647083712,0.852583135391924,0.9424187304860171,0.852583135391924,0.0027911969940955447,7.605141075366947e-05,0.0,0.0020916568842570364
xgboost,0.001,True,0.95908522605896,22,22504,0.0009776039815143974,0.9985882595799225,0.9973089364611825,0.9121926177487688,0.8524346793349169,0.9401311232811976,0.8524346793349169,0.0022544283413848632,7.605141075366947e-05,0.0,0.0017272827943952227
xgboost,0.0005,True,0.9617995619773865,11,22504,0.0004888019907571987,0.9985820418286779,0.9972832947612035,0.9035331682302568,0.8518408551068883,0.9378098399817567,0.8518408551068883,0.0010735373054213634,7.605141075366947e-05,0.0,0.0007561407811902453
catboost,0.01,False,0.9407238960266113,226,22504,0.01004265908282972,0.9986809040734664,0.997499605512308,0.9937719659489008,0.8447149643705463,0.9586668599763054,0.8447149643705463,0.024154589371980676,7.605141075366947e-05,0.0,0.01555466866305337
catboost,0.005,True,0.9450029730796814,109,22504,0.004843583362957696,0.9986725101092863,0.9974397748790238,0.9933375831391774,0.8439726840855107,0.9583556380532495,0.8439726840855107,0.011594202898550725,7.605141075366947e-05,0.0,0.0073273257063854805
catboost,0.0025,True,0.9479079842567444,55,22504,0.002444009953785994,0.9986634943699817,0.9973884914790658,0.9929370483406013,0.8436757719714965,0.9581662015402863,0.8436757719714965,0.005797101449275362,7.605141075366947e-05,0.0,0.0037064848869500775
catboost,0.001,False,0.9509848952293396,23,22504,0.0010220405261286882,0.998655722180926,0.9973483852303808,0.9922600881176556,0.8430819477434679,0.9578365358181076,0.8430819477434679,0.0023617820719269993,7.605141075366947e-05,0.0,0.0015154170645038688
catboost,0.0005,False,0.9537861347198486,12,22504,0.0005332385353714896,0.9986501262048059,0.9972997317483695,0.9917523679504465,0.8430819477434679,0.9576960434117724,0.8430819477434679,0.0011808910359634996,7.605141075366947e-05,0.0,0.00076326756373373
