model_id,point_type,threshold,fpr_target,benign_fp,benign_support,benign_fpr,owltron_interaction_fp,owltron_interaction_support,owltron_interaction_fpr,profiling_idle_fp,profiling_idle_support,profiling_idle_fpr,owltron_power_fp,owltron_power_support,owltron_power_fpr,ddos_tcp_tp,ddos_tcp_support,ddos_tcp_recall,dos_tcp_tp,dos_tcp_support,dos_tcp_recall,mqtt_publish_tp,mqtt_publish_support,mqtt_publish_recall,recon_os_scan_tp,recon_os_scan_support,recon_os_scan_recall,macro_attack_group_recall,min_attack_group_recall,macro_benign_pcap_fpr,target_reached
xgboost,fixed_threshold,0.995,,0,22504,0.0,0,9315,0.0,0,13149,0.0,0,40,0.0,3210402,3216597,0.9980740515519974,1514256,1520960,0.9955922575215653,115302,177263,0.6504572302172478,5621,6736,0.8344714964370546,0.8696487589319664,0.6504572302172478,0.0,
catboost,fixed_threshold,0.5,,4777,22504,0.21227337362246712,4740,9315,0.5088566827697263,37,13149,0.0028139021978857708,0,40,0.0,3213911,3216597,0.9991649560078555,1519489,1520960,0.9990328476751525,176984,177263,0.9984260674816515,5998,6736,0.8904394299287411,0.9717658252733502,0.8904394299287411,0.3964738821808279,
catboost,fixed_threshold,0.75,,4019,22504,0.1785904728048347,4008,9315,0.4302737520128824,11,13149,0.0008365655182903642,0,40,0.0,3213426,3216597,0.9990141755401749,1519081,1520960,0.9987645960446034,176868,177263,0.9977716725994709,5844,6736,0.8675771971496437,0.9657819103334732,0.8675771971496437,0.33665918414080875,
catboost,fixed_threshold,0.85,,3227,22504,0.1433967294703164,3222,9315,0.3458937198067633,5,13149,0.0003802570537683474,0,40,0.0,3213100,3216597,0.9989128261948885,1518588,1520960,0.9984404586576899,176744,177263,0.9970721470357604,5772,6736,0.8568883610451307,0.9628284482333674,0.8568883610451307,0.2673364648187898,
catboost,fixed_threshold,0.9,,1034,22504,0.04594738713117668,1032,9315,0.1107890499194847,2,13149,0.00015210282150733895,0,40,0.0,3212829,3216597,0.9988285756655247,1518124,1520960,0.9981353881758889,176577,177263,0.9961300440588279,5731,6736,0.8508016627078385,0.96097391765202,0.8508016627078385,0.07521654115748164,
catboost,fixed_threshold,0.925,,628,22504,0.027906150017774616,626,9315,0.06720343531937735,2,13149,0.00015210282150733895,0,40,0.0,3212576,3216597,0.9987499211122811,1517703,1520960,0.9978585893120134,176401,177263,0.9951371690651744,5703,6736,0.8466448931116389,0.959597643150277,0.8466448931116389,0.04412338939466128,
catboost,fixed_threshold,0.94,,236,22504,0.010487024528972627,235,9315,0.02522812667740204,1,13149,7.605141075366947e-05,0,40,0.0,3212363,3216597,0.9986837020615266,1517171,1520960,0.997508810225121,176172,177263,0.9938453033063865,5690,6736,0.8447149643705463,0.9586881949908951,0.8447149643705463,0.016244861095351566,
catboost,fixed_threshold,0.95,,26,22504,0.0011553501599715606,25,9315,0.0026838432635534087,1,13149,7.605141075366947e-05,0,40,0.0,3212281,3216597,0.9986582092814238,1516950,1520960,0.9973635072585735,175928,177263,0.9924688175197306,5679,6736,0.8430819477434679,0.957893120450799,0.8430819477434679,0.0017091389669803554,
catboost,fixed_threshold,0.97,,7,22504,0.0003110558123000355,6,9315,0.0006441223832528181,1,13149,7.605141075366947e-05,0,40,0.0,3211910,3216597,0.9985428699958372,1516279,1520960,0.9969223385230381,175000,177263,0.9872336584622848,5662,6736,0.8405581947743468,0.9558142654388768,0.8405581947743468,0.0004155694227838202,
catboost,fixed_threshold,0.98,,3,22504,0.0001333096338428724,2,9315,0.00021470746108427267,1,13149,7.605141075366947e-05,0,40,0.0,3211820,3216597,0.9985148901152366,1516046,1520960,0.996769145802651,173950,177263,0.9813102565115112,5646,6736,0.8381828978622328,0.9536942975729079,0.8381828978622328,0.00014174330338254335,
catboost,fixed_threshold,0.99,,0,22504,0.0,0,9315,0.0,0,13149,0.0,0,40,0.0,3211639,3216597,0.9984586194664734,1515581,1520960,0.9964634178413634,171390,177263,0.9668684384220058,5604,6736,0.8319477434679335,0.9484345547994439,0.8319477434679335,0.0,
catboost,fixed_threshold,0.995,,0,22504,0.0,0,9315,0.0,0,13149,0.0,0,40,0.0,3211334,3216597,0.9983637987599938,1514871,1520960,0.9959966074058489,165369,177263,0.932901959235712,5557,6736,0.8249703087885986,0.9380581685475383,0.8249703087885986,0.0,
